t,rs_x,rs_y,rs_z,py_x,py_y,py_z
0.5850,-0.236065,-0.143005,1.510436,-0.236065,-0.143005,1.510436
0.5900,-0.243444,-0.149059,1.510087,-0.243444,-0.149059,1.510087
0.5950,-0.250898,-0.155200,1.509695,-0.250898,-0.155200,1.509695
0.6000,-0.258424,-0.161427,1.509261,-0.258424,-0.161427,1.509261
0.6050,-0.266021,-0.167739,1.508787,-0.266021,-0.167739,1.508787
0.6100,-0.273686,-0.174135,1.508275,-0.273686,-0.174135,1.508275
0.6150,-0.281417,-0.180616,1.507726,-0.281417,-0.180616,1.507726
0.6200,-0.289212,-0.187179,1.507141,-0.289212,-0.187179,1.507141
0.6250,-0.297069,-0.193824,1.506524,-0.297069,-0.193824,1.506524
0.6300,-0.304986,-0.200550,1.505876,-0.304986,-0.200550,1.505876
0.6350,-0.312960,-0.207355,1.505199,-0.312960,-0.207355,1.505199
0.6400,-0.320989,-0.214239,1.504495,-0.320989,-0.214239,1.504495
0.6450,-0.329071,-0.221201,1.503766,-0.329071,-0.221201,1.503766
0.6500,-0.337204,-0.228240,1.503015,-0.337204,-0.228240,1.503015
0.6550,-0.345385,-0.235354,1.502243,-0.345385,-0.235354,1.502243
0.6600,-0.353612,-0.242542,1.501453,-0.353612,-0.242542,1.501453
0.6650,-0.361883,-0.249803,1.500647,-0.361883,-0.249803,1.500647
0.6700,-0.370195,-0.257136,1.499827,-0.370195,-0.257136,1.499827
0.6750,-0.378545,-0.264540,1.498995,-0.378545,-0.264540,1.498995
0.6800,-0.386931,-0.272012,1.498154,-0.386931,-0.272012,1.498154
0.6850,-0.395351,-0.279552,1.497306,-0.395351,-0.279552,1.497306
0.6900,-0.403802,-0.287158,1.496453,-0.403802,-0.287158,1.496453
0.6950,-0.412280,-0.294829,1.495598,-0.412280,-0.294829,1.495598
0.7000,-0.420785,-0.302563,1.494743,-0.420785,-0.302563,1.494743
0.7050,-0.429312,-0.310359,1.493889,-0.429312,-0.310359,1.493889
0.7100,-0.437859,-0.318215,1.493040,-0.437859,-0.318215,1.493040
0.7150,-0.446424,-0.326129,1.492196,-0.446424,-0.326129,1.492196
0.7200,-0.455004,-0.334100,1.491361,-0.455004,-0.334100,1.491361
0.7250,-0.463597,-0.342125,1.490537,-0.463597,-0.342125,1.490537
0.7300,-0.472199,-0.350203,1.489724,-0.472199,-0.350203,1.489724
0.7350,-0.480808,-0.358332,1.488925,-0.480808,-0.358332,1.488925
0.7400,-0.489423,-0.366510,1.488143,-0.489423,-0.366510,1.488143
0.7450,-0.498041,-0.374735,1.487378,-0.498041,-0.374735,1.487377
0.7500,-0.506659,-0.383005,1.486631,-0.506659,-0.383005,1.486631
0.7550,-0.515275,-0.391317,1.485906,-0.515275,-0.391317,1.485906
0.7600,-0.523889,-0.399669,1.485202,-0.523889,-0.399669,1.485202
0.7650,-0.532496,-0.408059,1.484522,-0.532496,-0.408059,1.484522
0.7700,-0.541096,-0.416485,1.483867,-0.541096,-0.416485,1.483867
0.7750,-0.549688,-0.424944,1.483238,-0.549688,-0.424944,1.483238
0.7800,-0.558268,-0.433434,1.482636,-0.558268,-0.433434,1.482636
0.7850,-0.566836,-0.441952,1.482062,-0.566836,-0.441952,1.482061
0.7900,-0.575391,-0.450496,1.481517,-0.575391,-0.450496,1.481516
0.7950,-0.583930,-0.459063,1.481002,-0.583930,-0.459063,1.481002
0.8000,-0.592453,-0.467650,1.480518,-0.592453,-0.467650,1.480518
0.8050,-0.600958,-0.476256,1.480065,-0.600958,-0.476256,1.480065
0.8100,-0.609444,-0.484877,1.479646,-0.609444,-0.484877,1.479645
0.8150,-0.617910,-0.493510,1.479259,-0.617910,-0.493510,1.479259
0.8200,-0.626356,-0.502154,1.478906,-0.626356,-0.502154,1.478906
0.8250,-0.634780,-0.510804,1.478588,-0.634780,-0.510804,1.478588
0.8300,-0.643182,-0.519459,1.478304,-0.643182,-0.519459,1.478304
0.8350,-0.651560,-0.528116,1.478056,-0.651560,-0.528116,1.478056
0.8400,-0.659914,-0.536771,1.477843,-0.659914,-0.536771,1.477843
0.8450,-0.668244,-0.545423,1.477667,-0.668244,-0.545423,1.477667
0.8500,-0.676549,-0.554067,1.477528,-0.676549,-0.554067,1.477527
0.8550,-0.684827,-0.562702,1.477425,-0.684827,-0.562702,1.477425
0.8600,-0.693079,-0.571325,1.477359,-0.693079,-0.571325,1.477359
0.8650,-0.701305,-0.579932,1.477330,-0.701305,-0.579932,1.477330
0.8700,-0.709502,-0.588521,1.477338,-0.709502,-0.588521,1.477338
0.8750,-0.717671,-0.597089,1.477384,-0.717671,-0.597089,1.477384
0.8800,-0.725812,-0.605633,1.477468,-0.725812,-0.605633,1.477468
0.8850,-0.733924,-0.614150,1.477589,-0.733924,-0.614150,1.477588
0.8900,-0.742006,-0.622637,1.477747,-0.742006,-0.622637,1.477747
0.8950,-0.750057,-0.631092,1.477942,-0.750057,-0.631092,1.477942
0.9000,-0.758079,-0.639512,1.478175,-0.758079,-0.639512,1.478175
0.9050,-0.766069,-0.647893,1.478444,-0.766069,-0.647893,1.478444
0.9100,-0.774027,-0.656234,1.478751,-0.774027,-0.656234,1.478751
0.9150,-0.781953,-0.664530,1.479093,-0.781953,-0.664530,1.479093
0.9200,-0.789847,-0.672780,1.479472,-0.789847,-0.672780,1.479472
0.9250,-0.797708,-0.680980,1.479886,-0.797708,-0.680980,1.479886
0.9300,-0.805536,-0.689128,1.480336,-0.805536,-0.689128,1.480336
0.9350,-0.813330,-0.697220,1.480820,-0.813330,-0.697220,1.480820
0.9400,-0.821089,-0.705254,1.481339,-0.821089,-0.705254,1.481339
0.9450,-0.828814,-0.713228,1.481891,-0.828814,-0.713228,1.481891
0.9500,-0.836505,-0.721138,1.482476,-0.836505,-0.721138,1.482476
0.9550,-0.844160,-0.728982,1.483093,-0.844160,-0.728982,1.483093
0.9600,-0.851779,-0.736756,1.483743,-0.851779,-0.736756,1.483742
0.9650,-0.859362,-0.744458,1.484422,-0.859362,-0.744458,1.484422
0.9700,-0.866909,-0.752086,1.485132,-0.866909,-0.752086,1.485132
0.9750,-0.874420,-0.759637,1.485871,-0.874420,-0.759637,1.485871
0.9800,-0.881893,-0.767107,1.486639,-0.881893,-0.767107,1.486639
0.9850,-0.889329,-0.774495,1.487433,-0.889329,-0.774495,1.487433
0.9900,-0.896728,-0.781797,1.488254,-0.896728,-0.781797,1.488253
0.9950,-0.904089,-0.789011,1.489099,-0.904089,-0.789011,1.489099
1.0000,-0.911412,-0.796134,1.489969,-0.911412,-0.796134,1.489969
1.0050,-0.918697,-0.803164,1.490861,-0.918697,-0.803164,1.490861
1.0100,-0.925942,-0.810098,1.491775,-0.925942,-0.810098,1.491775
1.0150,-0.933149,-0.816934,1.492710,-0.933149,-0.816934,1.492710
1.0200,-0.940317,-0.823668,1.493663,-0.940317,-0.823668,1.493663
